index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;17;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
2;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;4;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;9;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;8;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;15;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;7;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;9;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;5;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
10;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;12;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;1;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;11;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;10;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;15;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;3;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;2;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;2;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;5;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;8;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;11;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;9;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
30;5;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;12;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;11;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
33;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;4;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;14;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;11;6;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;1;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;16;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;1;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
44;12;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
45;3;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
46;17;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;10;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
49;6;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
50;17;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
51;12;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;13;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
53;3;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
54;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
55;15;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
56;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
57;3;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
58;7;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;11;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
60;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;2;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
62;1;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
63;4;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
64;5;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
65;5;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
66;7;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
