index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
2;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
4;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
5;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
7;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;14;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;12;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;11;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
16;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
20;13;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
