index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;12;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;4;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;6;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;2;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;10;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;3;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;9;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;12;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;8;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;10;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;12;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;15;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;2;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;15;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;13;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;17;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;1;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;5;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;3;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;6;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;12;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;12;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
32;8;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;13;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
34;11;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;10;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;7;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;17;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;3;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;4;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
