index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
7;3;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
9;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
10;12;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;12;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;4;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;1;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
24;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
29;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
32;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;8;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
34;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
35;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
37;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
40;8;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
41;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;14;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
46;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
47;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
48;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
49;8;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
50;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
