LinkS;TranspS;Instance;Demands;OF;Formulation;Reach;OSNR;Cuts
2x;lowData;European_18_40;48;1p;0;1;1;0
2x;lowData;European_18_40;48;1p;23;1;1;0
2x;lowData;European_18_40;48;1p;3;1;1;0
2x;lowData;European_18_40;48;4;0;1;1;0
2x;lowData;European_18_40;48;4;23;1;1;0
2x;lowData;European_18_40;48;4;3;1;1;0
2x;lowData;European_18_40;48;10;0;1;1;0
2x;lowData;European_18_40;48;10;23;1;1;0
2x;lowData;European_18_40;48;10;3;1;1;0
2x;lowData;European_18_40;50;1p;0;1;1;0
2x;lowData;European_18_40;50;1p;23;1;1;0
2x;lowData;European_18_40;50;1p;3;1;1;0
2x;lowData;European_18_40;50;4;0;1;1;0
2x;lowData;European_18_40;50;4;23;1;1;0
2x;lowData;European_18_40;50;4;3;1;1;0
2x;lowData;European_18_40;50;10;0;1;1;0
2x;lowData;European_18_40;50;10;23;1;1;0
2x;lowData;European_18_40;50;10;3;1;1;0
2x;lowData;European_18_40;30;1p;0;1;1;0
2x;lowData;European_18_40;30;1p;23;1;1;0
2x;lowData;European_18_40;30;1p;3;1;1;0
2x;lowData;European_18_40;30;4;0;1;1;0
2x;lowData;European_18_40;30;4;23;1;1;0
2x;lowData;European_18_40;30;4;3;1;1;0
2x;lowData;European_18_40;30;10;0;1;1;0
2x;lowData;European_18_40;30;10;23;1;1;0
2x;lowData;European_18_40;30;10;3;1;1;0
2x;lowData;Spain_32_42;50;1p;0;1;1;0
2x;lowData;Spain_32_42;50;1p;23;1;1;0
2x;lowData;Spain_32_42;50;1p;3;1;1;0
2x;lowData;Spain_32_42;50;4;0;1;1;0
2x;lowData;Spain_32_42;50;4;23;1;1;0
2x;lowData;Spain_32_42;50;4;3;1;1;0
2x;lowData;Spain_32_42;50;10;0;1;1;0
2x;lowData;Spain_32_42;50;10;23;1;1;0
2x;lowData;Spain_32_42;50;10;3;1;1;0
2x;lowData;Spain_32_42;30;1p;0;1;1;0
2x;lowData;Spain_32_42;30;1p;23;1;1;0
2x;lowData;Spain_32_42;30;1p;3;1;1;0
2x;lowData;Spain_32_42;30;4;0;1;1;0
2x;lowData;Spain_32_42;30;4;23;1;1;0
2x;lowData;Spain_32_42;30;4;3;1;1;0
