Demand;TranspId;Path;Distance;dispersionC val;dispersionC lim;dispersionL val;dispersionL lim;osnrC val;osnrC lim;osnrL val;osnrL lim
1;6;1-8-9-14-13-12-11-4-5-6-3-2-;12100;205700;40000;0;0;12.9027;21;-nan;0;
1;6;1-8-9-14-13-12-11-4-2-;8800;149600;40000;0;0;14.2853;21;-nan;0;
1;6;1-8-9-14-13-6-5-4-2-;9000;153000;40000;0;0;14.2348;21;-nan;0;
1;6;1-8-9-14-13-6-3-2-;8900;151300;40000;0;0;14.3009;21;-nan;0;
1;6;1-8-9-14-11-12-13-6-5-4-2-;10600;180200;40000;0;0;13.4606;21;-nan;0;
1;6;1-8-9-14-11-12-13-6-3-2-;10500;178500;40000;0;0;13.5158;21;-nan;0;
1;6;1-8-9-14-11-4-5-6-3-2-;11500;195500;40000;0;0;13.1925;21;-nan;0;
1;6;1-8-9-14-11-4-2-;8200;139400;40000;0;0;14.689;21;-nan;0;
1;6;1-8-9-12-13-14-11-4-5-6-3-2-;12100;205700;40000;0;0;12.9027;21;-nan;0;
1;6;1-8-9-12-13-14-11-4-2-;8800;149600;40000;0;0;14.2853;21;-nan;0;
1;6;1-8-9-12-13-6-5-4-2-;9000;153000;40000;0;0;14.2348;21;-nan;0;
1;6;1-8-9-12-13-6-3-2-;8900;151300;40000;0;0;14.3009;21;-nan;0;
1;6;1-8-9-12-11-14-13-6-5-4-2-;10600;180200;40000;0;0;13.4606;21;-nan;0;
1;6;1-8-9-12-11-14-13-6-3-2-;10500;178500;40000;0;0;13.5158;21;-nan;0;
1;6;1-8-9-12-11-4-5-6-3-2-;11500;195500;40000;0;0;13.1925;21;-nan;0;
1;6;1-8-9-12-11-4-2-;8200;139400;40000;0;0;14.689;21;-nan;0;
1;6;1-8-9-10-6-13-14-11-4-2-;12100;205700;40000;0;0;12.9719;21;-nan;0;
1;6;1-8-9-10-6-13-12-11-4-2-;12100;205700;40000;0;0;12.9719;21;-nan;0;
1;6;1-8-9-10-6-5-4-2-;8300;141100;40000;0;0;14.6205;21;-nan;0;
1;6;1-8-9-10-6-3-2-;8200;139400;40000;0;0;14.6928;21;-nan;0;
1;6;1-8-7-5-6-13-14-11-4-2-;11900;202300;40000;0;0;13.0128;21;-nan;0;
1;6;1-8-7-5-6-13-14-9-12-11-4-2-;12900;219300;40000;0;0;12.653;21;-nan;0;
1;6;1-8-7-5-6-13-12-11-4-2-;11900;202300;40000;0;0;13.0128;21;-nan;0;
1;6;1-8-7-5-6-13-12-9-14-11-4-2-;12900;219300;40000;0;0;12.653;21;-nan;0;
1;6;1-8-7-5-6-10-9-14-13-12-11-4-2-;12800;217600;40000;0;0;12.6447;21;-nan;0;
1;6;1-8-7-5-6-10-9-14-11-4-2-;12200;207400;40000;0;0;12.9173;21;-nan;0;
1;6;1-8-7-5-6-10-9-12-13-14-11-4-2-;12800;217600;40000;0;0;12.6447;21;-nan;0;
1;6;1-8-7-5-6-10-9-12-11-4-2-;12200;207400;40000;0;0;12.9173;21;-nan;0;
1;6;1-8-7-5-6-3-2-;8000;136000;40000;0;0;14.7538;21;-nan;0;
1;6;1-8-7-5-4-11-14-13-12-9-10-6-3-2-;13900;236300;40000;0;0;12.2851;21;-nan;0;
1;6;1-8-7-5-4-11-14-13-6-3-2-;13000;221000;40000;0;0;12.6228;21;-nan;0;
1;6;1-8-7-5-4-11-14-9-12-13-6-3-2-;14000;238000;40000;0;0;12.2927;21;-nan;0;
1;6;1-8-7-5-4-11-14-9-10-6-3-2-;13300;226100;40000;0;0;12.5354;21;-nan;0;
1;6;1-8-7-5-4-11-12-13-14-9-10-6-3-2-;13900;236300;40000;0;0;12.2851;21;-nan;0;
1;6;1-8-7-5-4-11-12-13-6-3-2-;13000;221000;40000;0;0;12.6228;21;-nan;0;
1;6;1-8-7-5-4-11-12-9-14-13-6-3-2-;14000;238000;40000;0;0;12.2927;21;-nan;0;
1;6;1-8-7-5-4-11-12-9-10-6-3-2-;13300;226100;40000;0;0;12.5354;21;-nan;0;
1;6;1-8-7-5-4-2-;5900;100300;40000;0;0;16.0628;21;-nan;0;
1;6;1-3-6-13-14-11-12-9-8-7-5-4-2-;11800;200600;40000;0;0;12.9296;21;-nan;0;
1;6;1-3-6-13-14-11-4-2-;10100;171700;40000;0;0;13.748;21;-nan;0;
1;6;1-3-6-13-14-9-12-11-4-2-;11100;188700;40000;0;0;13.3249;21;-nan;0;
1;6;1-3-6-13-14-9-8-7-5-4-2-;10200;173400;40000;0;0;13.6073;21;-nan;0;
1;6;1-3-6-13-12-11-14-9-8-7-5-4-2-;11800;200600;40000;0;0;12.9296;21;-nan;0;
1;6;1-3-6-13-12-11-4-2-;10100;171700;40000;0;0;13.748;21;-nan;0;
1;6;1-3-6-13-12-9-14-11-4-2-;11100;188700;40000;0;0;13.3249;21;-nan;0;
1;6;1-3-6-13-12-9-8-7-5-4-2-;10200;173400;40000;0;0;13.6073;21;-nan;0;
