index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;18;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;1;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
5;9;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
6;9;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;7;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;4;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;11;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;5;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;12;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;16;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;18;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;1;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;12;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;8;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
24;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;15;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;5;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
27;18;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
28;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;1;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
30;12;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;11;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;14;11;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;12;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;8;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
38;17;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;15;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;17;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
