index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;12;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
3;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
5;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;4;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;7;5;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;9;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;2;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;12;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;11;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
18;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;12;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
