index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;18;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;18;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
6;18;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;13;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;3;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;1;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;4;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;15;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;3;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;16;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;3;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;7;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;16;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;3;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;3;12;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
25;18;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;15;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;12;18;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
29;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;1;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;9;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;16;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;2;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;3;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;17;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
39;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;12;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
