index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;14;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;13;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;18;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;18;15;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;7;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;17;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;7;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;9;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;1;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;18;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;18;6;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
17;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;9;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;8;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;2;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;1;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
24;13;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;18;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;9;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;16;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;8;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;14;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;4;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;9;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;6;3;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
37;1;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;1;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;12;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;18;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
42;2;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;13;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;18;17;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
45;14;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;9;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;3;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;1;18;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
52;4;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
53;1;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
54;13;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;6;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
56;7;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;8;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
59;9;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;7;18;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
