index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
4;8;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
5;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;13;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;14;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;1;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
14;4;10;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
16;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;14;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
19;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;5;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;2;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;14;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;5;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;8;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;9;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
28;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
31;8;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;4;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
33;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;11;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
38;9;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
40;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;13;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
44;14;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
46;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;7;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;1;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
52;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
53;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
54;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
56;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;8;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
58;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
60;12;14;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
61;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
62;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
63;14;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
64;1;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
65;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
66;1;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
67;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
68;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
69;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;12;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
