index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;14;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
7;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;9;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
10;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
12;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;7;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
16;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
18;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;1;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
20;4;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;5;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
22;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;9;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
27;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;7;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;10;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
