index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;5;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;15;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;8;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;15;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;12;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
7;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;14;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;8;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;10;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
11;7;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;13;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
13;2;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;15;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;3;6;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
16;1;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;15;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;9;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;10;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;13;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;17;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;5;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;12;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
28;7;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;13;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;11;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;4;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
33;14;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
