index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;11;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
8;1;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
9;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;8;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;9;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;4;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
15;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;2;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
17;4;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;8;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
21;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;7;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;14;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;9;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
29;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;7;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;10;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;10;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;1;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;10;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;4;9;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
38;12;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
42;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
45;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;10;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;12;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
51;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
52;6;8;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
53;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
56;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
58;6;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;4;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
60;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;4;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;13;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
64;1;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
