index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
5;9;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
6;7;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
7;3;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;4;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
11;14;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
13;4;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;2;3;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;10;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;3;10;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;11;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
21;3;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;7;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;7;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;10;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;10;4;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
26;8;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;14;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
30;4;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
31;2;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;6;2;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
33;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;2;5;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;14;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;9;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;11;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
38;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;13;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
