index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;16;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;7;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;4;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
5;11;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;11;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;11;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;12;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
11;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;2;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
13;11;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;9;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;7;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;11;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;6;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;5;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;7;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;14;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;11;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;1;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;16;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;8;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;6;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;14;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;2;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;1;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;10;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;3;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
36;8;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
38;2;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;12;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;8;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
41;14;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;14;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;16;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
46;14;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;11;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;7;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;12;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;8;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;16;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;3;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;16;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
54;7;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;7;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
56;4;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
