index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;13;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;5;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;2;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;3;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;13;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;10;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;8;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;16;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;9;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
10;9;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;6;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
12;3;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;8;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;15;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;13;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;13;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;12;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;11;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;7;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;11;1;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
23;17;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;4;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;17;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;6;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;1;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
