index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;5;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;4;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;7;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;14;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;1;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;9;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
8;14;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;6;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;11;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;8;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;5;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;5;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;3;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;4;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;3;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;4;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;9;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;17;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
23;7;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;7;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;4;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;8;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;8;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;5;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;3;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
32;9;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;17;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;7;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;2;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
36;8;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;3;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;12;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
39;8;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;14;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
