index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;16;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;3;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;10;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;13;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;1;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;13;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
11;2;3;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
12;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;12;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
14;4;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;12;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;4;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;12;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;8;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;13;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
21;5;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;6;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;17;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;6;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;16;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
26;12;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;15;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;7;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;8;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;7;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;5;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
34;2;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;15;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
36;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;6;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;9;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
41;11;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
42;10;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
43;6;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;14;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
45;6;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
46;2;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;17;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;6;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;15;10;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
50;17;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
51;10;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
52;8;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
53;15;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
54;17;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;16;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;13;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
57;4;6;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
58;12;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
59;13;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
