index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;14;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;10;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
6;3;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;10;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
8;11;16;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;9;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;16;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;8;14;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
14;17;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;1;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
17;10;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;1;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
19;17;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;14;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;13;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;16;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;17;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
24;14;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;17;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
26;14;17;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;8;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;2;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
