index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
2;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;8;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
4;4;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
6;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
7;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;1;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
9;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;14;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
11;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
12;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
13;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
15;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;12;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
19;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;9;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
22;13;11;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
23;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;6;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;10;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;7;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
31;13;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
33;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;11;7;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
35;7;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;3;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
37;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;4;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
42;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;8;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
47;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
48;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
50;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
