index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
2;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;7;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;16;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;8;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;18;4;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
9;12;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;2;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;10;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;3;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
13;1;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;13;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
16;3;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;4;13;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
18;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
20;14;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;11;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;11;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;12;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;12;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
28;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
29;13;12;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
30;18;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;11;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;8;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
33;16;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;16;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;15;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;10;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;5;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
39;10;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;11;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;3;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
43;18;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;15;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
45;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;13;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
47;11;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
48;6;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;15;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
50;8;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
51;15;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
52;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
53;18;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
54;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;10;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
57;16;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
58;4;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;7;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;3;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
