index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;2;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;17;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;5;9;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;5;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;1;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;13;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
8;14;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;3;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;1;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;11;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;6;7;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;2;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
