index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;1;18;3;2000;15;0.000375;0.000375;0.000375
2;1;27;6;2000;21;0.00075;0.00075;0.00075
3;1;9;3;5000;13;0.000375;0.000375;0.000375
4;1;13;6;2000;21;0.00075;0.00075;0.00075
5;1;8;6;2000;21;0.00075;0.00075;0.00075
6;1;21;4;1000;16;0.0005;0.0005;0.0005
7;1;14;6;2000;21;0.00075;0.00075;0.00075
8;1;2;4;1000;16;0.0005;0.0005;0.0005
9;1;26;4;1000;16;0.0005;0.0005;0.0005
10;1;23;6;2500;16;0.00075;0.00075;0.00075
11;1;20;6;2500;16;0.00075;0.00075;0.00075
12;1;25;3;2000;15;0.000375;0.000375;0.000375
13;1;5;3;2000;15;0.000375;0.000375;0.000375
14;1;7;3;5000;13;0.000375;0.000375;0.000375
15;1;4;6;2500;16;0.00075;0.00075;0.00075
16;1;11;6;2500;16;0.00075;0.00075;0.00075
17;1;22;3;5000;13;0.000375;0.000375;0.000375
18;1;12;6;2000;21;0.00075;0.00075;0.00075
19;1;6;6;1000;24;0.00075;0.00075;0.00075
20;1;19;3;5000;13;0.000375;0.000375;0.000375
21;1;30;3;5000;13;0.000375;0.000375;0.000375
22;1;3;3;2000;15;0.000375;0.000375;0.000375
23;1;17;3;5000;13;0.000375;0.000375;0.000375
24;2;27;6;2000;21;0.00075;0.00075;0.00075
25;2;28;6;2000;21;0.00075;0.00075;0.00075
26;2;23;3;5000;13;0.000375;0.000375;0.000375
27;2;12;3;2000;15;0.000375;0.000375;0.000375
28;2;21;6;2500;16;0.00075;0.00075;0.00075
29;2;22;6;2500;16;0.00075;0.00075;0.00075
30;2;8;6;2500;16;0.00075;0.00075;0.00075
31;2;6;3;2000;15;0.000375;0.000375;0.000375
32;2;1;6;1000;24;0.00075;0.00075;0.00075
33;2;17;6;2000;21;0.00075;0.00075;0.00075
34;2;7;6;2500;16;0.00075;0.00075;0.00075
35;2;4;3;5000;13;0.000375;0.000375;0.000375
36;2;18;6;2000;21;0.00075;0.00075;0.00075
37;2;10;6;2000;21;0.00075;0.00075;0.00075
38;2;13;3;5000;13;0.000375;0.000375;0.000375
39;2;25;4;1000;16;0.0005;0.0005;0.0005
40;2;5;3;5000;13;0.000375;0.000375;0.000375
41;2;14;3;5000;13;0.000375;0.000375;0.000375
42;2;20;3;2000;15;0.000375;0.000375;0.000375
43;2;19;6;2500;16;0.00075;0.00075;0.00075
44;2;9;3;2000;15;0.000375;0.000375;0.000375
45;2;3;6;2000;21;0.00075;0.00075;0.00075
46;2;11;4;1000;16;0.0005;0.0005;0.0005
47;3;12;4;1000;16;0.0005;0.0005;0.0005
48;3;19;6;2000;21;0.00075;0.00075;0.00075
49;3;18;3;5000;13;0.000375;0.000375;0.000375
50;3;26;6;2000;21;0.00075;0.00075;0.00075
51;3;27;4;1000;16;0.0005;0.0005;0.0005
52;3;25;3;5000;13;0.000375;0.000375;0.000375
53;3;20;6;2000;21;0.00075;0.00075;0.00075
54;3;13;4;1000;16;0.0005;0.0005;0.0005
55;3;2;4;1000;16;0.0005;0.0005;0.0005
56;3;10;4;1000;16;0.0005;0.0005;0.0005
57;3;15;6;2000;21;0.00075;0.00075;0.00075
58;3;29;3;5000;13;0.000375;0.000375;0.000375
59;3;22;3;5000;13;0.000375;0.000375;0.000375
60;3;7;4;1000;16;0.0005;0.0005;0.0005
