index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;18;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;17;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;3;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
6;4;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;11;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;17;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;12;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;4;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;18;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;13;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;5;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;4;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;3;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;3;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;1;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;12;18;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;1;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;4;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;9;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
26;18;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;15;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
28;2;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
29;7;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;3;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;14;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;13;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
34;18;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
35;6;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;17;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;1;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;17;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;8;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;12;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
43;3;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;18;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
45;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;6;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
47;6;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;16;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
50;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;1;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
53;11;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;5;1;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
55;8;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
56;5;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
57;14;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
58;9;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;12;18;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
60;6;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
61;12;18;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
62;5;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
63;16;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
64;1;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
65;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
66;10;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
67;1;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
68;1;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
69;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
70;3;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
71;11;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
72;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
73;5;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
74;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
75;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
76;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
77;17;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
78;1;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
79;6;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
80;5;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
