index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
2;1;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;17;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;11;13;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
6;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;9;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
8;17;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;16;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;6;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
11;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;16;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;10;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;6;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
15;13;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;18;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;15;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
21;15;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;17;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
23;14;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
24;3;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;8;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;4;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
27;11;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
28;10;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
29;6;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
30;17;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;15;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;10;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;8;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;11;14;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
36;16;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
37;14;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
38;2;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;16;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;17;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
41;17;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;16;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
43;11;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;6;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;17;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
46;13;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;2;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;5;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
49;13;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
50;14;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
51;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;14;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
53;12;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
54;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
