index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;3;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
3;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
4;13;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;12;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
7;6;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;10;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
9;6;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;5;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;15;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;5;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;7;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;4;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;14;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;6;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;14;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
19;11;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;16;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
22;10;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
23;3;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;7;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
25;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;8;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;13;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;3;1;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
29;3;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;12;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;15;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
32;8;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
33;10;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;11;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;6;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;11;17;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
38;12;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;8;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;2;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;2;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
42;16;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
43;17;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;11;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
45;9;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;17;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
47;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
