index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;3;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
4;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
5;14;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;4;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;5;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;4;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;3;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
12;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;9;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;6;2;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
15;6;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
17;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
18;6;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
21;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;11;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
26;1;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
27;5;12;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;12;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
32;3;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
34;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
