index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
2;1;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
3;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
4;10;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;16;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
6;3;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;17;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
8;14;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
10;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;16;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;3;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
13;4;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
14;5;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;10;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;16;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
17;10;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;11;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
19;6;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;11;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
21;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;16;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;15;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;14;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;11;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;10;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;15;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
28;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;15;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;2;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;11;16;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
32;6;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;14;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;4;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;17;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
36;3;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
37;18;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;5;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;17;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;18;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;14;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;15;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
43;10;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
44;9;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;1;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
46;1;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;13;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;9;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
49;15;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;5;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
51;17;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;3;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
53;11;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
54;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;5;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
56;17;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;2;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
58;10;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
59;10;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
60;17;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
61;7;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
62;4;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
63;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
64;7;10;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
65;15;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
66;8;14;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
67;6;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
68;9;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
69;4;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;11;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
71;3;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
72;13;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
73;14;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
74;3;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
75;17;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
76;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
77;15;8;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
78;16;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
79;17;18;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
80;18;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
81;15;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
82;14;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
83;8;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
84;4;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
85;13;18;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
86;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
87;5;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
88;18;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
89;13;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
90;7;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
91;8;18;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
92;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
93;16;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
94;5;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
95;7;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
96;11;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
97;8;12;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
98;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
99;4;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
100;17;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
