index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;15;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;8;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
3;5;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
4;2;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;3;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;16;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;1;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
8;10;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;14;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
10;17;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;3;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
13;14;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;5;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;13;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;13;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;12;3;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;9;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;16;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;6;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;5;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
23;2;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
24;13;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;1;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
27;15;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
28;9;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;4;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
31;5;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;7;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;11;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;3;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
35;11;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
36;17;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
37;12;7;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
