index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;4;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
3;12;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;12;5;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
5;5;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;12;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;16;15;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
8;13;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;6;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;12;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
11;4;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;6;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
13;14;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
14;5;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;16;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
16;17;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
17;6;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;13;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;12;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;17;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
22;11;12;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
23;3;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
25;1;8;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
26;6;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;1;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;3;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;10;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;4;8;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
31;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;13;3;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;1;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;16;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;12;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;10;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
38;13;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
39;6;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
40;5;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;9;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;10;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
43;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;10;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
45;1;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;3;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;12;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
48;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;13;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;11;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
51;2;16;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
52;6;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;7;13;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
54;6;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;4;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
56;16;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
57;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;1;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
59;17;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
60;9;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
