index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;4;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
2;6;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
3;17;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;16;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;5;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
6;2;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;16;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;3;9;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
9;16;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
10;4;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;13;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;3;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
13;5;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
15;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
16;14;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;11;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
18;14;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
19;9;18;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
20;2;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;18;1;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
22;14;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;5;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
24;13;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
25;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;16;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
27;12;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
28;14;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;17;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;7;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;14;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;1;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
33;1;18;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
34;2;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
35;10;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
36;3;14;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
37;5;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
38;15;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
39;17;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
40;12;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
41;16;9;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
42;18;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
43;3;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
45;6;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
46;2;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
47;13;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;2;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
49;10;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
50;16;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
51;6;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
