index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;11;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
2;1;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;10;2;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
4;9;11;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
5;1;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
7;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;1;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
9;12;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;4;13;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
11;8;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
12;15;13;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;11;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;10;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
15;17;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;2;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
17;14;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
18;15;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;10;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
20;1;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;15;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;13;16;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
23;15;5;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;2;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
25;13;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
26;4;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
27;3;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
28;14;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;15;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;7;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
31;4;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;13;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
33;10;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
34;9;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
35;13;17;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
36;16;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
37;1;11;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;12;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;1;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
40;7;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
41;17;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
42;10;15;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
43;14;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
44;13;5;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
45;13;15;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
46;12;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
47;3;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
48;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
49;17;10;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
50;9;13;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
51;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
52;2;12;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;1;2;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
54;7;10;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
55;14;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
56;1;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
57;5;15;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
58;16;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
59;5;8;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
60;15;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
61;15;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
62;3;12;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
63;3;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
64;6;4;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
65;15;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
66;6;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
67;2;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
68;13;1;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
69;10;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
70;1;11;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
71;8;16;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
72;15;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
73;6;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
