index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;13;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;10;11;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
5;10;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;1;2;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
7;9;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
8;6;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
9;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
11;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
12;12;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
13;3;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
14;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
15;3;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;10;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
17;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;5;7;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
19;5;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
20;7;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;6;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
22;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;5;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;14;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
25;9;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
27;7;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;1;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
29;6;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
30;3;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
32;9;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
33;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;9;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
35;2;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;9;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
38;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
39;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
40;12;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
41;4;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
42;8;9;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
43;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
44;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
45;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
46;1;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;5;9;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
48;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
49;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
51;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
52;11;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
53;14;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
54;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
55;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
56;10;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
57;12;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
58;6;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
59;10;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
