index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
3;8;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;13;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
5;3;14;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
6;13;12;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;9;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
9;2;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;8;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;8;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
12;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
13;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
14;10;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
15;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;6;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
18;13;8;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
19;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;8;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
23;7;4;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
24;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;4;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
26;9;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
27;10;9;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
28;9;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
29;12;14;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
30;8;13;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;2;13;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
32;10;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;7;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;14;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
37;6;10;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;12;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
41;11;14;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
42;2;4;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
43;5;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
44;4;6;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
45;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
46;5;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
47;14;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
48;10;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
49;2;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
50;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
51;5;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
52;4;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
53;14;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
54;5;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
55;12;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
56;14;5;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
57;12;14;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
58;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
59;8;4;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
60;6;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
61;13;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
62;7;13;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
63;11;12;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
64;5;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
65;12;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
66;9;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
67;13;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
68;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
69;1;10;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
70;11;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
