index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;14;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
2;13;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
3;5;7;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
4;14;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
5;3;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
6;13;14;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
7;6;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;17;16;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
9;7;11;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;10;2;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;10;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
12;15;14;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
13;7;17;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
14;3;15;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
15;9;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
16;9;6;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;17;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
18;11;10;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
19;15;11;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
20;4;10;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
21;1;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;5;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;17;6;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
24;2;5;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
25;14;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
