index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
2;5;3;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
3;11;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;6;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;8;1;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
6;11;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
7;5;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
8;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;11;5;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
10;2;3;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
11;13;1;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
12;2;6;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
13;12;13;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
14;10;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
15;10;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
16;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;9;6;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
18;10;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
19;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
20;6;12;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
21;5;13;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
22;3;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
23;10;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;3;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
25;5;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;2;1;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
27;14;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;8;7;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
29;11;8;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;7;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;11;12;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
32;6;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;11;7;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
34;6;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
35;3;8;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
36;8;11;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
37;12;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
39;5;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;10;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
