index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;3;15;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
2;11;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
3;16;15;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
4;2;1;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;3;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
6;8;2;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
7;9;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
8;15;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;5;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
10;2;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
11;9;16;3;10000;22;4;4;20000;16;3;200;0.000375;0.000375;0.000375
12;18;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;2;17;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
14;18;8;4;20000;16;3;6;50000;16;5;200;0.0005;0.0005;0.0005
15;18;14;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;12;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
17;15;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
18;5;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
19;3;11;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
20;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
21;15;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
22;9;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
23;13;4;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
24;11;17;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
25;6;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
26;18;7;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;6;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
28;10;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;8;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;5;17;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
31;14;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
