index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;10;7;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
2;5;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
3;3;11;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
4;7;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
5;7;1;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
6;4;5;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
7;14;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
8;2;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
9;2;5;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;3;5;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
11;7;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
12;5;2;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
13;3;9;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
14;7;10;3;40000;15;1;3;100000;13;2;100;0.000375;0.000375;0.000375
15;14;13;3;10000;22;4;3;10000;22;4;200;0.000375;0.000375;0.000375
16;1;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
17;6;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
18;3;1;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
19;3;4;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
20;5;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
21;9;13;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
22;12;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
23;6;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
24;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
25;1;11;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
26;1;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
27;3;12;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
28;7;9;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
29;5;7;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
30;7;6;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
31;7;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
32;13;7;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
33;7;4;3;40000;15;1;3;40000;15;1;100;0.000375;0.000375;0.000375
34;11;3;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
35;13;2;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
36;12;3;3;100000;13;2;0;0;0;0;100;0.000375;0.000375;0.000375
37;9;8;4;20000;16;3;4;20000;16;3;200;0.0005;0.0005;0.0005
38;13;4;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
39;9;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
40;11;2;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
