index;origin;destination;slotsC;max_cdC;osnr_limitC;TranpCId;slotsL;max_cdL;osnr_limitL;TranspLId;Gbits/s;pchC;pchL;pchS
1;7;13;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
2;15;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
3;11;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
4;4;18;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
5;5;17;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
6;11;6;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
7;11;16;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
8;2;7;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
9;2;6;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
10;2;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
11;15;3;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
12;13;6;6;50000;16;5;0;0;0;0;200;0.00075;0.00075;0.00075
13;15;10;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
14;10;4;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
15;11;15;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
16;13;9;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
17;1;16;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
18;17;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
19;6;10;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
20;11;9;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
21;11;1;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
22;6;2;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
23;11;8;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
24;4;9;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
25;12;14;3;100000;13;2;3;100000;13;2;100;0.000375;0.000375;0.000375
26;17;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
27;1;2;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
28;16;3;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
29;10;8;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
30;9;2;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
31;4;5;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
32;15;16;6;40000;21;6;6;40000;21;6;300;0.00075;0.00075;0.00075
33;12;1;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
34;3;18;6;20000;24;7;0;0;0;0;400;0.00075;0.00075;0.00075
35;14;3;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
36;6;11;6;20000;24;7;6;20000;24;7;400;0.00075;0.00075;0.00075
37;7;17;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
38;1;12;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
39;9;11;6;40000;21;6;0;0;0;0;300;0.00075;0.00075;0.00075
40;13;18;6;50000;16;5;6;50000;16;5;200;0.00075;0.00075;0.00075
