demand;transpId;band;path
1;1;6;7-4-13
2;1;7;15-9
3;1;6;11-16-2
4;1;6;4-9-5-18
5;1;7;5-1-17
6;1;7;11-6
7;1;5;11-16
8;1;6;2-16-7
9;1;6;2-5-3-6
10;1;6;2-4-13-8
11;1;6;15-1-18-3
12;1;5;13-4-16-11-6
13;1;7;15-9-10
14;1;7;10-2-4
15;1;5;11-7-4-15
16;1;6;13-4-9
17;1;6;1-5-10-16
18;1;6;17-15-9-10
19;1;6;6-3-5-10
20;1;6;11-3-5-9
21;1;6;11-3-18-1
22;1;6;6-11-16-2
23;1;5;11-7-4-15-8
24;1;7;4-9
25;1;2;12-8-14
26;1;6;17-1-18-3-11
27;1;6;1-5-2
28;1;6;16-11-3
29;1;6;10-9-15-8
30;1;7;9-2
31;1;6;4-2-5
32;1;6;15-4-16
33;1;5;12-8-17-1
34;1;7;3-18
35;1;5;14-18-3
36;1;7;6-11
37;1;5;7-4-15-17
38;1;5;1-15-4-12
39;1;6;9-2-16-11
40;1;5;13-15-17-1-18
