index;origin;destination;slots;max_length
1;1;2;6;1000
3;1;3;6;1000
5;1;4;6;1000
7;1;5;6;1000
8;1;6;6;1000
9;1;7;6;1000
11;1;8;6;1000
12;1;9;6;1000
13;2;3;6;1000
14;2;4;6;1000
15;2;5;6;1000
16;2;6;6;1000
18;2;7;6;1000
20;2;8;6;1000
22;2;9;6;1000
24;3;4;6;1000
25;3;5;6;1000
26;3;6;6;1000
28;3;7;6;1000
29;3;8;6;1000
30;3;9;6;1000
33;4;5;6;1000
35;4;6;6;1000
36;4;7;6;1000
38;4;8;6;1000
41;4;9;6;1000
42;5;6;6;1000
46;5;7;6;1000
48;5;8;6;1000
49;5;9;6;1000
50;6;7;6;1000
52;6;8;6;1000
53;6;9;6;1000
55;7;8;6;1000
56;7;9;6;1000
59;8;9;6;1000
