Index;Origin;Destination;length;slices;cost
1;1;5;523;120;0
2;1;14;1282;120;0
3;1;15;592;120;0
4;1;17;264;120;0
5;1;18;257;120;0
6;2;4;264;120;0
7;2;5;649;120;0
8;2;9;187;120;0
9;2;10;173;120;0
10;2;16;320;120;0
11;3;5;356;120;0
12;3;6;520;120;0
13;3;11;482;120;0
14;3;18;634;120;0
15;4;7;778;120;0
16;4;9;288;120;0
17;4;12;1452;120;0
18;4;13;1051;120;0
19;4;15;790;120;0
20;4;16;342;120;0
21;5;9;601;120;0
22;5;10;574;120;0
23;5;18;279;120;0
24;6;11;417;120;0
25;7;11;1264;120;0
26;7;16;463;120;0
27;8;12;1683;120;0
28;8;13;1188;120;0
29;8;14;1461;120;0
30;8;17;527;120;0
31;9;10;320;120;0
32;9;15;304;120;0
33;10;16;357;120;0
34;11;16;1153;120;0
35;12;13;502;120;0
36;13;15;1246;120;0
37;14;17;1083;120;0
38;14;18;1535;120;0
39;15;17;591;120;0
