index;origin;destination;slots;max_length;osnr_limit;pchC;pchL
1;4;5;6;1000;24;0.00075;0.0005769230769230769
2;4;8;6;1000;24;0.00075;0.0005769230769230769
3;4;16;6;1000;24;0.00075;0.0005769230769230769
4;5;8;6;2000;21;0.00075;0.0005769230769230769
5;5;16;6;1000;24;0.00075;0.0005769230769230769
6;8;16;6;2000;21;0.00075;0.0005769230769230769
7;1;16;6;2500;16;0.00075;0.0005769230769230769
8;1;5;4;1000;16;0.0005;0.0003846153846153846
9;1;8;4;1000;16;0.0005;0.0003846153846153846
10;2;5;4;1000;16;0.0005;0.0003846153846153846
11;2;4;3;500;22;0.000375;0.00028846153846153843
12;2;8;4;1000;16;0.0005;0.0003846153846153846
13;3;5;3;500;22;0.000375;0.00028846153846153843
14;3;16;6;2500;16;0.00075;0.0005769230769230769
15;3;8;6;2500;16;0.00075;0.0005769230769230769
16;4;6;6;2500;16;0.00075;0.0005769230769230769
17;6;16;6;2500;16;0.00075;0.0005769230769230769
18;6;8;6;2500;16;0.00075;0.0005769230769230769
19;7;16;3;500;22;0.000375;0.00028846153846153843
20;5;7;6;2500;16;0.00075;0.0005769230769230769
21;4;7;4;1000;16;0.0005;0.0003846153846153846
22;5;9;4;1000;16;0.0005;0.0003846153846153846
23;9;16;4;1000;16;0.0005;0.0003846153846153846
24;4;9;3;500;22;0.000375;0.00028846153846153843
25;4;10;3;500;22;0.000375;0.00028846153846153843
26;10;16;3;500;22;0.000375;0.00028846153846153843
27;5;10;4;1000;16;0.0005;0.0003846153846153846
28;5;11;4;1000;16;0.0005;0.0003846153846153846
29;4;11;6;2500;16;0.00075;0.0005769230769230769
30;8;11;6;2500;16;0.00075;0.0005769230769230769
31;4;12;6;2500;16;0.00075;0.0005769230769230769
32;12;16;6;2500;16;0.00075;0.0005769230769230769
33;8;12;6;2500;16;0.00075;0.0005769230769230769
34;4;13;6;2500;16;0.00075;0.0005769230769230769
35;8;13;6;2500;16;0.00075;0.0005769230769230769
36;5;13;6;2500;16;0.00075;0.0005769230769230769
37;5;14;6;2500;16;0.00075;0.0005769230769230769
38;14;16;6;2500;16;0.00075;0.0005769230769230769
39;4;14;6;2500;16;0.00075;0.0005769230769230769
40;4;15;4;1000;16;0.0005;0.0003846153846153846
41;15;16;4;1000;16;0.0005;0.0003846153846153846
42;5;15;4;1000;16;0.0005;0.0003846153846153846
43;5;17;4;1000;16;0.0005;0.0003846153846153846
44;16;17;6;2500;16;0.00075;0.0005769230769230769
45;8;17;4;1000;16;0.0005;0.0003846153846153846
46;5;18;3;500;22;0.000375;0.00028846153846153843
47;4;18;6;2500;16;0.00075;0.0005769230769230769
48;16;18;6;2500;16;0.00075;0.0005769230769230769
