index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;6;10;6;2000;21;0.00075;0.00075;0.00075
2;16;17;6;2000;21;0.00075;0.00075;0.00075
3;11;2;6;2000;21;0.00075;0.00075;0.00075
4;15;5;6;2000;21;0.00075;0.00075;0.00075
5;18;6;6;2000;21;0.00075;0.00075;0.00075
6;17;11;6;2500;16;0.00075;0.00075;0.00075
7;8;16;6;2000;21;0.00075;0.00075;0.00075
8;3;6;6;1000;24;0.00075;0.00075;0.00075
9;17;1;6;1000;24;0.00075;0.00075;0.00075
10;6;4;6;2500;16;0.00075;0.00075;0.00075
11;5;4;6;2000;21;0.00075;0.00075;0.00075
12;1;12;6;2500;16;0.00075;0.00075;0.00075
13;15;2;6;1000;24;0.00075;0.00075;0.00075
14;17;4;6;2000;21;0.00075;0.00075;0.00075
15;4;14;6;2500;16;0.00075;0.00075;0.00075
16;2;9;6;1000;24;0.00075;0.00075;0.00075
17;9;3;6;2000;21;0.00075;0.00075;0.00075
18;8;12;6;2000;21;0.00075;0.00075;0.00075
19;4;12;6;2000;21;0.00075;0.00075;0.00075
20;2;16;6;1000;24;0.00075;0.00075;0.00075
21;6;10;6;2000;21;0.00075;0.00075;0.00075
22;16;17;6;2000;21;0.00075;0.00075;0.00075
23;11;2;6;2000;21;0.00075;0.00075;0.00075
24;15;5;6;2000;21;0.00075;0.00075;0.00075
25;18;6;6;2000;21;0.00075;0.00075;0.00075
26;17;11;6;2500;16;0.00075;0.00075;0.00075
27;8;16;6;2000;21;0.00075;0.00075;0.00075
28;3;6;6;1000;24;0.00075;0.00075;0.00075
29;17;1;6;1000;24;0.00075;0.00075;0.00075
30;6;4;6;2500;16;0.00075;0.00075;0.00075
