Index;Origin;Destination;length;slices;cost;lineAmps;pnliC;pnliL;paseC;paseL
1;1;5;523;40;0;7;0;4.948604416127203e-08;1.0744871293468029e-06;1.6790605469867542e-06
2;1;14;1282;40;0;17;0;1.203744022216346e-07;2.6974653003821045e-06;4.227776672509184e-06
3;1;15;592;40;0;8;0;5.645865711785528e-08;1.186933619098788e-06;1.8491491736361279e-06
4;1;17;264;40;0;4;0;2.7553008879085784e-08;4.0431532472884844e-07;6.0908260138959e-07
5;1;18;257;40;0;4;0;2.7366308140731514e-08;3.714360658860946e-07;5.555201088161133e-07
6;2;4;264;40;0;4;0;2.7553008879085784e-08;4.0431532472884844e-07;6.0908260138959e-07
7;2;5;649;40;0;9;0;6.32087156287201e-08;1.2202458756687205e-06;1.8858878573685935e-06
8;2;9;187;40;0;3;0;2.035706354658877e-08;2.5375437295591536e-07;3.765418127463102e-07
9;2;10;173;40;0;3;0;1.9877667006069935e-08;2.0173442359088282e-07;2.937458107874472e-07
10;2;16;320;40;0;4;0;2.8587351837647682e-08;7.888100432013827e-07;1.2608941832316136e-06
11;3;5;356;40;0;5;0;3.502774861950964e-08;6.490148458319498e-07;9.99200853893273e-07
12;3;6;520;40;0;7;0;4.94355721970086e-08;1.052793372844031e-06;1.6421627596549524e-06
13;3;11;482;40;0;7;0;4.869468355396198e-08;8.120529788549349e-07;1.2379657200546218e-06
14;3;18;634;40;0;8;0;5.709641941463867e-08;1.5226812705195754e-06;2.4261134900827987e-06
15;4;7;778;40;0;10;0;7.11706717724224e-08;1.7771237502543609e-06;2.813923035572847e-06
16;4;9;288;40;0;4;0;2.8084325865795114e-08;5.394598237287482e-07;8.333427848973381e-07
17;4;12;1452;40;0;19;0;1.3483689741168658e-07;3.1628416583048787e-06;4.978586028418126e-06
18;4;13;1051;40;0;14;0;9.905458847438551e-08;2.185790419640234e-06;3.4208531214620398e-06
19;4;15;790;40;0;10;0;7.133708626544416e-08;1.8809824699184775e-06;2.993776434966352e-06
20;4;16;342;40;0;5;0;3.4730562940982104e-08;5.67425148343629e-07;8.633812159420832e-07
21;5;9;601;40;0;8;0;5.660962182667154e-08;1.2522087176637592e-06;1.960206398627331e-06
22;5;10;574;40;0;8;0;5.613034724056898e-08;1.0661040501667786e-06;1.6451501452578638e-06
23;5;18;279;40;0;4;0;2.7903164179735674e-08;4.843608854384009e-07;7.411709775803985e-07
24;6;11;417;40;0;6;0;4.182265429250172e-08;7.178756986862321e-07;1.0973447833637083e-06
25;7;11;1264;40;0;16;0;1.1413933802471065e-07;3.009571951869564e-06;4.790042295946163e-06
26;7;16;463;40;0;6;0;4.264725655850008e-08;1.0347480147430545e-06;1.6339904858448892e-06
27;8;12;1683;40;0;22;0;1.561534502057073e-07;3.6759837483139747e-06;5.788270449896009e-06
28;8;13;1188;40;0;15;0;1.070458048164527e-07;2.848285707151093e-06;4.537244026910885e-06
29;8;14;1461;40;0;19;0;1.3497296515926396e-07;3.2347228837914462e-06;5.102066179553788e-06
30;8;17;527;40;0;7;0;4.955169651904312e-08;1.1040862616617472e-06;1.7295203665901517e-06
31;9;10;320;40;0;4;0;2.8587351837647682e-08;7.888100432013827e-07;1.2608941832316136e-06
32;9;15;304;40;0;4;0;2.8360681307544222e-08;6.526842919411465e-07;1.0255338686786777e-06
33;10;16;357;40;0;5;0;3.504745118948936e-08;6.552551821004373e-07;1.0096594260518234e-06
34;11;16;1153;40;0;15;0;1.065513084312154e-07;2.550331112464653e-06;4.02210470340612e-06
35;12;13;502;40;0;7;0;4.9109231971138134e-08;9.312496071832445e-07;1.436833876875333e-06
36;13;15;1246;40;0;16;0;1.1389018531640012e-07;2.853517007950918e-06;4.519754265812936e-06
37;14;17;1083;40;0;14;0;9.95493908096356e-08;2.436310550031506e-06;3.850367174938324e-06
38;14;18;1535;40;0;20;0;1.4203339738572853e-07;3.381676402775351e-06;5.3305487277973725e-06
39;15;17;591;40;0;8;0;5.644135889101577e-08;1.1798873851680401e-06;1.8371956411741253e-06
40;8;15;217;40;0;3;0;2.1082123297063196e-08;4.110893428830863e-07;6.359351309349596e-07
