Path;Distance;max_lengthC;osnrC;osnrC val;osnrL;osnrL val;osnrS;osnrS val;max_lengthL;max_lengthC;
2-5-10-4-;618;yes;no;23,5678;no;22,7282;no;20,8584;yes;yes;
2-5-4-;450;yes;yes;24,6087;no;23,6589;no;21,8059;yes;yes;
2-4-;288;yes;yes;26,6041;yes;25,7428;no;23,8836;yes;yes;
2-3-5-10-4-;715;yes;no;22,9216;no;22,2002;no;20,3232;yes;no;
2-3-5-4-;547;yes;no;23,8029;no;23,0136;no;21,1496;yes;yes;
2-5-11-;511;yes;yes;24,4639;no;23,5175;no;21,6529;yes;yes;
2-5-10-13-11-;929;yes;no;22,1504;no;21,2117;no;19,338;no;no;
2-5-10-11-;816;yes;no;22,7481;no;21,7026;no;19,8339;yes;no;
2-5-9-8-11-;631;yes;no;23,0388;no;22,3051;no;20,4392;yes;no;
2-5-9-6-7-8-11-;650;yes;no;21,9963;no;21,3389;no;19,4909;yes;no;
2-4-10-13-11-;989;yes;no;22,0924;no;21,1673;no;19,2863;no;no;
2-4-10-11-;876;yes;no;22,6815;no;21,6529;no;19,7759;no;no;
2-4-5-11-;931;yes;no;22,6873;no;21,7038;no;19,8158;no;no;
2-3-5-11-;608;yes;no;23,6823;no;22,8914;no;21,0178;yes;yes;
2-3-5-10-11-;913;yes;no;22,2064;no;21,2804;no;19,4058;no;no;
2-3-5-9-8-11-;728;yes;no;22,462;no;21,8235;no;19,9506;yes;no;
2-3-5-9-6-7-8-11-;747;yes;no;21,5364;no;20,9492;no;19,0939;yes;no;
2-3-1-9-8-11-;886;yes;no;21,7904;no;20,9153;no;19,0525;no;no;
2-3-1-9-6-7-8-11-;905;yes;no;20,9859;no;20,193;no;18,3435;no;no;
2-5-11-13-17-;902;yes;yes;22,2465;yes;21,3315;no;19,4564;yes;yes;
2-5-11-13-15-16-17-;1192;yes;no;20,8415;no;19,9191;no;18,0506;yes;yes;
2-5-11-12-14-15-16-17-;984;yes;no;20,7741;no;19,92;no;18,0715;yes;yes;
2-5-11-12-14-15-13-17-;1110;yes;no;20,6717;no;19,8288;no;17,969;yes;yes;
2-5-11-10-13-17-;1351;yes;no;20,9202;no;19,9076;no;18,025;yes;no;
2-5-11-10-13-15-16-17-;1641;yes;no;19,8432;no;18,846;no;16,9702;yes;no;
2-5-10-13-17-;870;yes;yes;22,4389;yes;21,5912;no;19,7103;yes;yes;
2-5-10-13-15-16-17-;1160;yes;no;20,9799;no;20,1051;no;18,2328;yes;yes;
2-5-10-13-11-12-14-15-16-17-;1402;yes;no;19,6319;no;18,7607;no;16,9032;yes;no;
2-5-10-11-13-17-;1207;yes;yes;21,1379;no;20,1469;no;18,2715;yes;yes;
2-5-10-11-13-15-16-17-;1497;yes;no;20,0122;no;19,0323;no;17,1623;yes;no;
2-5-10-11-12-14-15-16-17-;1289;yes;no;19,9564;no;19,033;no;17,1794;yes;no;
2-5-10-11-12-14-15-13-17-;1415;yes;no;19,8714;no;18,9585;no;17,0957;yes;no;
2-5-9-8-11-13-17-;1022;yes;yes;21,3365;no;20,5591;no;18,6848;yes;yes;
