index;origin;destination;slots;max_length
1;1;2;5;1500
2;1;3;5;1500
3;1;4;5;1500
4;1;5;5;1500
5;1;6;5;1500
6;1;7;5;1500
7;1;8;5;1500
8;1;9;5;1500
9;2;3;5;1500
10;2;4;5;1500
11;2;5;5;1500
12;2;6;5;1500
13;2;7;5;1500
14;2;8;5;1500
15;2;9;5;1500
16;3;4;5;1500
17;3;5;5;1500
18;3;6;5;1500
19;3;7;5;1500
20;3;8;5;1500
21;3;9;5;1500
22;4;5;5;1500
23;4;6;5;1500
24;4;7;5;1500
25;4;8;5;1500
26;4;9;5;1500
27;5;6;5;1500
28;5;7;5;1500
29;5;8;5;1500
30;5;9;5;1500
31;6;7;5;1500
32;6;8;5;1500
33;6;9;5;1500
34;7;8;5;1500
35;7;9;5;1500
36;8;9;5;1500
