index;origin;destination;slots;max_length;osnr_limit;pchC;pchL;pchS
1;2;4;6;1000;24;0.00075;0.00075;0.00075
2;2;11;6;1000;24;0.00075;0.00075;0.00075
3;2;17;6;2000;21;0.00075;0.00075;0.00075
4;4;11;6;1000;24;0.00075;0.00075;0.00075
5;4;17;6;2000;21;0.00075;0.00075;0.00075
6;11;17;6;1000;24;0.00075;0.00075;0.00075
7;1;4;4;1000;16;0.0005;0.0005;0.0005
8;1;2;3;500;22;0.000375;0.000375;0.000375
9;1;17;4;1000;16;0.0005;0.0005;0.0005
10;1;11;4;1000;16;0.0005;0.0005;0.0005
11;3;11;4;1000;16;0.0005;0.0005;0.0005
12;3;17;4;1000;16;0.0005;0.0005;0.0005
13;3;4;3;500;22;0.000375;0.000375;0.000375
14;2;3;3;500;22;0.000375;0.000375;0.000375
15;5;17;4;1000;16;0.0005;0.0005;0.0005
16;2;5;3;500;22;0.000375;0.000375;0.000375
17;4;5;3;500;22;0.000375;0.000375;0.000375
18;5;11;3;500;22;0.000375;0.000375;0.000375
19;6;11;4;1000;16;0.0005;0.0005;0.0005
20;6;17;4;1000;16;0.0005;0.0005;0.0005
21;4;6;4;1000;16;0.0005;0.0005;0.0005
22;2;6;4;1000;16;0.0005;0.0005;0.0005
23;7;17;4;1000;16;0.0005;0.0005;0.0005
24;2;7;4;1000;16;0.0005;0.0005;0.0005
25;7;11;3;500;22;0.000375;0.000375;0.000375
26;4;7;4;1000;16;0.0005;0.0005;0.0005
27;4;8;4;1000;16;0.0005;0.0005;0.0005
28;8;17;4;1000;16;0.0005;0.0005;0.0005
29;2;8;4;1000;16;0.0005;0.0005;0.0005
30;8;11;3;500;22;0.000375;0.000375;0.000375
31;4;9;4;1000;16;0.0005;0.0005;0.0005
32;9;17;4;1000;16;0.0005;0.0005;0.0005
33;2;9;3;500;22;0.000375;0.000375;0.000375
34;9;11;3;500;22;0.000375;0.000375;0.000375
35;10;17;3;500;22;0.000375;0.000375;0.000375
36;4;10;3;500;22;0.000375;0.000375;0.000375
37;10;11;3;500;22;0.000375;0.000375;0.000375
38;2;10;4;1000;16;0.0005;0.0005;0.0005
39;11;12;3;500;22;0.000375;0.000375;0.000375
40;4;12;4;1000;16;0.0005;0.0005;0.0005
41;12;17;4;1000;16;0.0005;0.0005;0.0005
42;2;12;4;1000;16;0.0005;0.0005;0.0005
43;13;17;3;500;22;0.000375;0.000375;0.000375
44;4;13;4;1000;16;0.0005;0.0005;0.0005
45;2;13;4;1000;16;0.0005;0.0005;0.0005
46;11;13;3;500;22;0.000375;0.000375;0.000375
47;2;14;4;1000;16;0.0005;0.0005;0.0005
48;4;14;4;1000;16;0.0005;0.0005;0.0005
49;14;17;4;1000;16;0.0005;0.0005;0.0005
50;11;14;3;500;22;0.000375;0.000375;0.000375
51;11;15;4;1000;16;0.0005;0.0005;0.0005
52;2;15;4;1000;16;0.0005;0.0005;0.0005
53;15;17;3;500;22;0.000375;0.000375;0.000375
54;4;15;4;1000;16;0.0005;0.0005;0.0005
55;4;16;4;1000;16;0.0005;0.0005;0.0005
56;2;16;4;1000;16;0.0005;0.0005;0.0005
57;11;16;4;1000;16;0.0005;0.0005;0.0005
58;16;17;3;500;22;0.000375;0.000375;0.000375
