index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;4;5;6;2000;3;2000;15;0.00075;0.00075
2;4;8;6;2000;3;2000;15;0.00075;0.00075
3;4;16;6;1000;3;2000;15;0.00075;0.00075
4;5;8;6;2000;3;2000;15;0.00075;0.00075
5;5;16;6;2000;3;2000;15;0.00075;0.00075
6;8;16;6;2000;3;2000;15;0.00075;0.00075
7;1;16;6;2500;3;2000;15;0.00075;0.00075
8;1;5;4;1000;3;2000;15;0.0005;0.0005
9;2;4;3;500;3;2000;15;0.000375;0.000375
10;2;8;4;1000;3;2000;15;0.0005;0.0005
11;3;4;6;2500;3;2000;15;0.00075;0.00075
12;3;5;3;500;3;2000;15;0.000375;0.000375
13;5;6;4;1000;3;2000;15;0.0005;0.0005
14;4;6;6;2500;3;2000;15;0.00075;0.00075
15;7;8;6;2500;3;2000;15;0.00075;0.00075
16;4;7;4;1000;3;2000;15;0.0005;0.0005
17;8;9;4;1000;3;2000;15;0.0005;0.0005
18;5;9;4;1000;3;2000;15;0.0005;0.0005
19;5;10;4;1000;3;2000;15;0.0005;0.0005
20;4;10;3;500;3;2000;15;0.000375;0.000375
21;4;11;6;2500;3;2000;15;0.00075;0.00075
22;11;16;6;2500;3;2000;15;0.00075;0.00075
23;5;12;6;2500;3;5000;13;0.00075;0.00075
24;4;12;6;2500;3;2000;15;0.00075;0.00075
25;8;13;6;2500;3;2000;15;0.00075;0.00075
26;5;13;6;2500;3;2000;15;0.00075;0.00075
27;5;14;6;2500;3;2000;15;0.00075;0.00075
28;14;16;6;2500;3;5000;13;0.00075;0.00075
29;4;15;4;1000;3;2000;15;0.0005;0.0005
30;8;15;3;500;3;2000;15;0.000375;0.000375
31;4;17;6;2500;3;2000;15;0.00075;0.00075
32;8;17;4;1000;3;2000;15;0.0005;0.0005
33;5;18;3;500;3;2000;15;0.000375;0.000375
34;8;18;6;2500;3;2000;15;0.00075;0.00075
