index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;1;3;6;2500;3;2000;15;0.00075;0.00075
2;1;5;3;5000;3;5000;13;0.000375;0.000375
3;1;7;3;5000;3;5000;13;0.000375;0.000375
4;1;9;3;5000;3;5000;13;0.000375;0.000375
5;1;11;3;5000;3;5000;13;0.000375;0.000375
6;1;13;3;5000;3;5000;13;0.000375;0.000375
7;2;4;4;1000;3;2000;15;0.0005;0.0005
8;2;6;3;5000;3;5000;13;0.000375;0.000375
9;2;8;3;5000;3;5000;13;0.000375;0.000375
10;2;10;3;5000;3;5000;13;0.000375;0.000375
11;2;12;3;5000;3;5000;13;0.000375;0.000375
12;2;14;3;5000;3;5000;13;0.000375;0.000375
13;3;5;6;2500;3;5000;13;0.00075;0.00075
14;3;7;3;5000;3;5000;13;0.000375;0.000375
15;3;9;3;5000;3;5000;13;0.000375;0.000375
16;3;11;3;5000;3;5000;13;0.000375;0.000375
17;3;13;3;5000;3;5000;13;0.000375;0.000375
18;4;6;6;2500;3;2000;15;0.00075;0.00075
19;4;8;6;2500;3;5000;13;0.00075;0.00075
20;4;10;3;5000;3;5000;13;0.000375;0.000375
21;4;12;3;5000;3;5000;13;0.000375;0.000375
22;4;14;3;5000;3;5000;13;0.000375;0.000375
23;5;7;4;1000;3;2000;15;0.0005;0.0005
24;5;9;6;2500;3;5000;13;0.00075;0.00075
25;5;11;3;5000;3;5000;13;0.000375;0.000375
26;5;13;3;5000;3;5000;13;0.000375;0.000375
27;6;8;3;5000;3;5000;13;0.000375;0.000375
28;6;10;6;2500;3;2000;15;0.00075;0.00075
29;6;12;6;2500;3;5000;13;0.00075;0.00075
30;6;14;6;2500;3;5000;13;0.00075;0.00075
31;7;9;6;2500;3;2000;15;0.00075;0.00075
32;7;11;3;5000;3;5000;13;0.000375;0.000375
33;7;13;6;2500;3;5000;13;0.00075;0.00075
34;8;10;6;2500;3;2000;15;0.00075;0.00075
35;8;12;6;2500;3;2000;15;0.00075;0.00075
36;8;14;6;2500;3;2000;15;0.00075;0.00075
37;9;11;6;2500;3;2000;15;0.00075;0.00075
38;9;13;4;1000;3;2000;15;0.0005;0.0005
39;10;12;6;2500;3;2000;15;0.00075;0.00075
40;10;14;6;2500;3;2000;15;0.00075;0.00075
41;11;13;6;2500;3;2000;15;0.00075;0.00075
42;12;14;4;1000;3;2000;15;0.0005;0.0005
