index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;4;5;6;2000;3;2000;15;0.00075;0.00075
2;4;8;6;2000;3;2000;15;0.00075;0.00075
3;4;16;6;1000;3;2000;15;0.00075;0.00075
4;5;8;6;2000;3;2000;15;0.00075;0.00075
5;5;16;6;2000;3;2000;15;0.00075;0.00075
6;8;16;6;2000;3;2000;15;0.00075;0.00075
7;1;5;4;1000;3;2000;15;0.0005;0.0005
8;1;16;6;2500;3;2000;15;0.00075;0.00075
9;1;8;4;1000;3;2000;15;0.0005;0.0005
10;1;4;6;2500;3;2000;15;0.00075;0.00075
11;2;16;3;500;3;2000;15;0.000375;0.000375
12;2;8;4;1000;3;2000;15;0.0005;0.0005
13;2;5;4;1000;3;2000;15;0.0005;0.0005
14;2;4;3;500;3;2000;15;0.000375;0.000375
15;3;16;6;2500;3;2000;15;0.00075;0.00075
16;3;4;6;2500;3;2000;15;0.00075;0.00075
17;3;8;6;2500;3;2000;15;0.00075;0.00075
18;3;5;3;500;3;2000;15;0.000375;0.000375
19;6;8;6;2500;3;2000;15;0.00075;0.00075
20;6;16;6;2500;3;2000;15;0.00075;0.00075
21;5;6;4;1000;3;2000;15;0.0005;0.0005
22;4;6;6;2500;3;2000;15;0.00075;0.00075
23;7;16;3;500;3;2000;15;0.000375;0.000375
24;4;7;4;1000;3;2000;15;0.0005;0.0005
25;7;8;6;2500;3;2000;15;0.00075;0.00075
26;5;7;6;2500;3;2000;15;0.00075;0.00075
27;8;9;4;1000;3;2000;15;0.0005;0.0005
28;9;16;4;1000;3;2000;15;0.0005;0.0005
29;5;9;4;1000;3;2000;15;0.0005;0.0005
30;4;9;3;500;3;2000;15;0.000375;0.000375
31;8;10;4;1000;3;2000;15;0.0005;0.0005
32;4;10;3;500;3;2000;15;0.000375;0.000375
33;5;10;4;1000;3;2000;15;0.0005;0.0005
34;10;16;3;500;3;2000;15;0.000375;0.000375
35;4;11;6;2500;3;2000;15;0.00075;0.00075
36;5;11;4;1000;3;2000;15;0.0005;0.0005
37;11;16;6;2500;3;2000;15;0.00075;0.00075
38;8;11;6;2500;3;2000;15;0.00075;0.00075
39;5;12;6;2500;3;5000;13;0.00075;0.00075
40;4;12;6;2500;3;2000;15;0.00075;0.00075
41;12;16;6;2500;3;2000;15;0.00075;0.00075
42;8;12;6;2500;3;2000;15;0.00075;0.00075
43;5;13;6;2500;3;2000;15;0.00075;0.00075
44;13;16;6;2500;3;2000;15;0.00075;0.00075
45;8;13;6;2500;3;2000;15;0.00075;0.00075
46;4;13;6;2500;3;2000;15;0.00075;0.00075
47;14;16;6;2500;3;5000;13;0.00075;0.00075
48;4;14;6;2500;3;5000;13;0.00075;0.00075
49;5;14;6;2500;3;2000;15;0.00075;0.00075
50;8;14;6;2500;3;2000;15;0.00075;0.00075
51;15;16;4;1000;3;2000;15;0.0005;0.0005
52;4;15;4;1000;3;2000;15;0.0005;0.0005
53;5;15;4;1000;3;2000;15;0.0005;0.0005
54;8;15;3;500;3;2000;15;0.000375;0.000375
55;8;17;4;1000;3;2000;15;0.0005;0.0005
56;5;17;4;1000;3;2000;15;0.0005;0.0005
57;16;17;6;2500;3;2000;15;0.00075;0.00075
58;4;17;6;2500;3;2000;15;0.00075;0.00075
59;16;18;6;2500;3;2000;15;0.00075;0.00075
60;8;18;6;2500;3;2000;15;0.00075;0.00075
61;4;18;6;2500;3;2000;15;0.00075;0.00075
62;5;18;3;500;3;2000;15;0.000375;0.000375
