index;origin;destination;slots;max_length;slots;max_length;osnr_limit;pch;pch
1;2;4;6;1000;3;2000;15;0.00075;0.00075
2;2;11;6;1000;3;2000;15;0.00075;0.00075
3;2;17;6;2000;3;2000;15;0.00075;0.00075
4;4;11;6;1000;3;2000;15;0.00075;0.00075
5;4;17;6;2000;3;2000;15;0.00075;0.00075
6;11;17;6;1000;3;2000;15;0.00075;0.00075
7;1;4;4;1000;3;2000;15;0.0005;0.0005
8;1;17;4;1000;3;2000;15;0.0005;0.0005
9;2;3;3;500;3;2000;15;0.000375;0.000375
10;3;11;4;1000;3;2000;15;0.0005;0.0005
11;5;17;4;1000;3;2000;15;0.0005;0.0005
12;5;11;3;500;3;2000;15;0.000375;0.000375
13;4;6;4;1000;3;2000;15;0.0005;0.0005
14;2;6;4;1000;3;2000;15;0.0005;0.0005
15;2;7;4;1000;3;2000;15;0.0005;0.0005
16;4;7;4;1000;3;2000;15;0.0005;0.0005
17;8;17;4;1000;3;2000;15;0.0005;0.0005
18;8;11;3;500;3;2000;15;0.000375;0.000375
19;9;17;4;1000;3;2000;15;0.0005;0.0005
20;9;11;3;500;3;2000;15;0.000375;0.000375
21;4;10;3;500;3;2000;15;0.000375;0.000375
22;10;11;3;500;3;2000;15;0.000375;0.000375
23;12;17;4;1000;3;2000;15;0.0005;0.0005
24;2;12;4;1000;3;2000;15;0.0005;0.0005
25;4;13;4;1000;3;2000;15;0.0005;0.0005
26;2;13;4;1000;3;2000;15;0.0005;0.0005
27;4;14;4;1000;3;2000;15;0.0005;0.0005
28;2;14;4;1000;3;2000;15;0.0005;0.0005
29;15;17;3;500;3;2000;15;0.000375;0.000375
30;11;15;4;1000;3;2000;15;0.0005;0.0005
31;4;16;4;1000;3;2000;15;0.0005;0.0005
32;11;16;4;1000;3;2000;15;0.0005;0.0005
